,Record Name,Artist,Date Released,Genre,Language,Record Color
,,,,,,
,Teddy Wilson and His Orchestra “Big Band”,Teddy Wilson,1939,Jazz,English,Blue
,Can't Slow Down,Lionel Richie,1983,Funk; Soul,English,Black
,Jay and Kai,J.J. Johnson; Kai Winding,1957,Jazz,English,Black
,Operation Doomsday,Mf Doom,1999,Hip Hop,English,Black
,Live At The Haarlemse Jazzclub,Ben Webster,1972,Jazz,English,Black
,Dark Myth Equation Visitation,Sun Ra,1972,Jazz,English,Black
,Egypt Strut,Salah Ragab,1974,Jazz,Arabic,Black
,Giant + Guitar,Omar Khorshid,1974,Rock,Arabic,Black
,Monster Mash,Bobby Pickett,1973,Rock,English,Black
,Funny Girl,Omar Sharif; Barbra Streisand,1968,Jazz,English,Black
,Deliver,The Mamas & The Papas,1967,Rock,English,Black
,Teddy Wilson,Teddy Wilson,1972,Jazz,English,Black
,The Best of Little Anthony & The Imperials,Little Anthony and the Imperials,1966,Funk; Soul,English,Black
,The Slam! Years,Hamid Al Shaeri,2022,Pop,Arabic,Black
,Houdou' Nisbi,Ziad Rahbani,2022,Pop,Arabic; French,Black
,Tapestry,Carole King,1971,Pop; Rock,English,Black
,Award Tour,A Tribe Called Quest,1993,Hip Hop,English,Black
,The Frank Sinatra Story,Frank Sinatra,1958,Jazz,English,Black
,Bop Stew,The Phil Woods Quintet,1988,Jazz,English,Black
,"Pisces, Aquarius, Capricorn & Jones",The Monkees,1967,Pop; Rock,English,Black
,Unmistakably Lou,Lou Rawls,1977,Funk; Soul,English,Black
,Tenement Steps,The Motors,1980,Rock,English,Black
,Love Will Live,Zeno,1986,Rock,English,Black
,Mozart Flute Concerto GK 313,Wolfgang Mozart,1971,Opera,English,Black
,A Written Testimony شهادة مكتوبة,Jay Electronica,2020,Hip Hop,English,Black
,Live!,Fela Kuti; Africa 70; Ginger Baker,1971,Jazz; Funk; Soul,English,Black
,Mama’s Gun,Erykah Badu ,2000,Funk; Soul,English,Black
,The New Danger,Mos Def,2004,Hip Hop,English,Black
